index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
15,1987,,Bill Haley,,1 (1986),Chuck Berry,Bill Haley,/wiki/File:Bill_Haley_(1974).jpg,/wiki/Bill_Haley
16,1987,,B.B. King,,1 (1986),Sting,B.B. King,/wiki/File:B.B._King_Hamburg_1971.jpg,/wiki/B.B._King
17,1987,,Clyde McPhatter,,1 (1986),Ben E. King,The Drifters,/wiki/File:Clyde_McPhatter.png,/wiki/Clyde_McPhatter
18,1987,,Ricky Nelson,,1 (1986),John Fogerty,Ricky Nelson,/wiki/File:Decca_Records_Rick_Nelson_1966.jpg,/wiki/Ricky_Nelson
19,1987,,Roy Orbison,,1 (1986),Bruce Springsteen,Roy Orbison,/wiki/File:Roy_Orbison_1965_(2).png,/wiki/Roy_Orbison
20,1987,,Carl Perkins,,First nomination,Sam Phillips,Carl Perkins,/wiki/File:Carl_Perkins_1977.jpg,/wiki/Carl_Perkins
21,1987,,Smokey Robinson,,1 (1986),Daryl Hall and John Oates,Smokey Robinson,/wiki/File:Smokey_Robinson_by_Gage_Skidmore.jpg,/wiki/Smokey_Robinson
22,1987,,Big Joe Turner,,1 (1986),Doc Pomus,Big Joe Turner,/wiki/File:Big_Joe_in_Hamburg_1973.jpg,/wiki/Big_Joe_Turner
23,1987,,Muddy Waters,,1 (1986),Paul Butterfield,Muddy Waters,/wiki/File:Muddy_Waters_november_1976.jpg,/wiki/Muddy_Waters
24,1987,,Jackie Wilson,,1 (1986),Peter Wolf,Jackie Wilson,/wiki/File:Jackie_Wilson_1961.jpg,/wiki/Jackie_Wilson
25,1988,,The Beach Boys,"Al Jardine, Mike Love, Brian Wilson, Carl Wilson, and Dennis Wilson.[13]",First nomination; First year of eligibility,Elton John,The Beach Boys,/wiki/File:The_Beach_Boys_(1965).png,/wiki/The_Beach_Boys
26,1988,,The Beatles,"George Harrison, John Lennon, Paul McCartney, and Ringo Starr.[14]",First nomination; First year of eligibility,Mick Jagger,The Beatles,/wiki/File:The_Beatles_members_at_New_York_City_in_1964.jpg,/wiki/The_Beatles
